# Shadow tomography log started 2019-12-30 18:49:40
# Dimension = 4
# True state = (-0.10347576  0.40046587  0.27090373 -0.62819040 -0.17220832  0.44102396 -0.00859407 -0.36969738)
# N        C              re0         im0         re1         im1         re2         im2         re3         im3
  9055597  2010   -0.04647044  0.35267688  0.58467657  0.24623817  0.62102225 -0.04604245 -0.17305213  0.23074664
  9180262  124665  0.50659811  0.07716449 -0.52042375  0.25314811  0.30484644 -0.36273652 -0.39251941 -0.15459149
  9218184  37922  -0.06452936 -0.61858438  0.05157542  0.08002844  0.51552333 -0.11802777  0.43336558 -0.36962706
  9233406  15222  -0.23464038 -0.41109212 -0.20719630 -0.45891213  0.30598945  0.11990799 -0.45673846  0.45365077
  9367005  133599 -0.25575474 -0.19685570  0.54472082  0.13358157 -0.51028117  0.29340485  0.08806148  0.47649180
  9370457  3452   -0.36574235 -0.37129481  0.10609530 -0.09404199  0.09091781 -0.64242318  0.53363674 -0.05030726
  9388707  18250   0.41383320 -0.48819288  0.39353121 -0.44023014 -0.13463782  0.02310721 -0.20138448 -0.42722759
  9416979  28272  -0.38476661  0.25802033  0.56189248  0.03070082  0.42287848 -0.18725819 -0.49654015 -0.09094230
  9436418  19439   0.45747025 -0.08505495  0.24065217  0.07180454  0.28858008 -0.15212150  0.72657425 -0.29340706
  9446296  9878   -0.45159263  0.15233142  0.37393831  0.59602764  0.39923946 -0.29060434 -0.14558654 -0.11288033
  9581923  135627 -0.23905004 -0.48901729  0.59712865  0.05914620 -0.29845874  0.43012542  0.17715299  0.19541645
  9592039  10116   0.48618818 -0.15389635  0.26949903 -0.09571420  0.54087104  0.28828906 -0.52504414  0.08259918
  9613657  21618   0.02630381 -0.10321933  0.45045496 -0.18958483 -0.70620010  0.06952244 -0.45548914 -0.19692509
  9657502  43845   0.28333954 -0.45166972  0.70132320  0.05857378  0.39065572  0.10175172  0.10448340  0.21574514
  9678632  21130   0.47759470 -0.61837406 -0.45416929 -0.04666524 -0.33771554 -0.11446173  0.18150629  0.14481586
  9758769  80137   0.04434615  0.30317866  0.22428411 -0.08433296 -0.39316741  0.22748374  0.79650354  0.08918159
  9903398  144629  0.44754205  0.18415138  0.01104724  0.40613783 -0.67686777 -0.28130850 -0.14944710  0.20274494
  9907176  3778    0.29876705 -0.35644937 -0.84610355 -0.02674104 -0.05920612  0.13631680  0.18032618 -0.11167201
  9909034  1858    0.58314891  0.40302017  0.02988437  0.28919251  0.55728810  0.31445137 -0.00442485  0.05930790
  9926261  17227   0.14260713 -0.16325369 -0.00325892 -0.18381437 -0.01377760  0.17603521 -0.90397518 -0.26620247
  9952407  26146   0.64202733  0.08297987 -0.01191949  0.04025803  0.54444902  0.42295744 -0.09949232 -0.30648983
